###MARCATORE_INIZIO_TERZI###
ADVANZIA BANK S.A.;11417060965;Milano, Via G. Washington, 70;advanziabank@legalmail.it
AGOS DUCATO SPA;8508450155;Milano, Via Bernina, 7;agosducato@actaliscertmail.it
ALBERTO SELLA DATA CENTER;1710520022;Biella, Via Corradino Sella, 10;sella_datacentre@pec.sella.it
ALLEANZA ASSICURAZIONI SPA;303320159;Milano, Piazza Tre Torri, 1;alleanza@pec.alleanza.it
ALLIANZ BANK FINANCIAL ADVISORS SPA;4805460155;Milano, Piazzale Lodi, 3;allianzbank@legalmail.it
AMEX;412620584;Roma, Via del Tintoretto, 432;americanexpress@legalmail.it
ANIMA SGR SPA;7507200157;Milano, Corso Garibaldi, 99;anima@pec.animasgr.it
ARCA FONDI SPA;9164960966;Milano, Via Disciplini, 3;arcafondisgr@legalmail.it
ARCOA SRL;1777080447;San Benedetto del Tronto (AP), Via Pizzi, 8;arcoasrl@pec.it
AXA ASSICURAZIONI SPA;902170018;Milano, Corso Sempione, 38;axaassicurazioni@pec.axa.it
BANCA AGRILEASING SPA;1349141009;Roma, Viale Pasteur, 10;banca.agrileasing@legalmail.it
BANCA AKROS SPA;3064920154;Milano, Viale Eginardo, 29;bancaakros@legalmail.it
BANCA ALPI MARITTIME CRED. COOP. CARRU';171010041;Carrù (CN), Piazza Galli, 7;segreteria@pec.bam.it
BANCA CAMBIANO 1884 SPA;6733220485;Castelfiorentino (FI), Viale Gramsci, 34;segreteria@pec.cambiano1884.it
BANCA DEL FUCINO SPA;392360584;Roma, Via Tomacelli, 107;segreteria@pec.fucino.it
BANCA DEL PIEMONTE SPA;483860010;Torino, Via Monte di Pietà, 7;bancadelpiemonte@legalmail.it
BANCA DELLA VALSABBIA SCPA;293140173;Brescia, Via Molino della Volta, 19;segreteria@pec.valsabbia.it
BANCA DELL'ALTA MURGIA CREDITO COOPERATIVO;5175940724;Piazza Zanardelli n. 16 - Altamura;pec@pec.bccaltamurgia.it
BANCA DESIO E DELLA BRIANZA SPA;1181770155;Desio (MB), Via Rovagnati, 1;segreteria@pec.bancodesio.it
BANCA FINNAT EURAMERICA SPA;862520581;Roma, Piazza del Gesù, 49;banca.finnat@legalmail.it
BANCA GENERALI SPA;833310321;Trieste, Via Machiavelli, 4;direzionegenerale@pec.bancagenerali.it
BANCA IFIS SPA;2505630302;Venezia Mestre, Via Bepi Colombo, 8;bancaifis@legalmail.it
BANCA MEDIOLANUM SPA;2124090164;Basiglio (MI), Via Francesco Sforza;bancamediolanum@pec.mediolanum.it
BANCA MONTE DEI PASCHI DI SIENA SPA;884060526;Siena, Piazza Salimbeni, 3;segr.gen@postacert.gruppo.mps.it
BANCA NAZIONALE DEL LAVORO SPA;9339391006;Roma, Viale Altiero Spinelli, 30;bnl@pec.bnl-mail.com
BANCA PASSADORE & C. SPA;262100100;Genova, Via Roma, 2;banca.passadore@legalmail.it
BANCA PATRIMONI SELLA & C.;5439240017;Torino, Via Roma, 311;bancapatrimoni@pec.sella.it
BANCA POPOLARE DEL LAZIO SCPA;84330580;Velletri (RM), Via Pietro Nenni, 6;segreteria@pec.bplazio.it
BANCA POPOLARE DELL'ALTO ADIGE;129730214;Bolzano, Via del Macello, 55;info@pec.volksbank.it
BANCA POPOLARE DI FONDI SCPA;78020593;Fondi (LT), Via De Gasperi, 70;bpfondi@legalmail.it
BANCA POPOLARE DI PUGLIA E BASILICATA SCPA;604840777;Altamura, Via O. Serena, 13;bppb@pec.bppb.it
BANCA POPOLARE DI SONDRIO SPA;53810149;Sondrio, Piazza Garibaldi, 16;postacertificata@pec.popso.it
BANCA POPOLARE PUGLIESE SCPA;2848590754;Parabita (LE), Via Prov.le per Matino;registro.imprese@pec.bpp.it
BANCA PROGETTO SPA;2207500135;Milano, Via dell'Annunciata, 23;bancaprogetto@legalmail.it
BANCA REALE SPA;7833530018;Torino, Corso Siccardi, 13;bancareale@pec.it
BANCA SANTA GIULIA SPA;3251500985;Chiari (BS), Via Roma, 34;bancasantagiulia@legalmail.it
BANCA SELLA SPA;2224410023;Biella, Piazza Gaudenzio Sella, 1;bs_segreteria@pec.sella.it
BANCO BILBAO VIZCAYA ARGENTARIA SA;6862150155;Milano, Corso Vittorio Emanuele, 9;bbvabanca@legalmail.it
BANCO BPM SPA;9722490969;Milano, Piazza Filippo Meda, 4;segreteria@pec.bancobpmspa.it
BANCO DI LUCCA E DEL TIRRENO SPA;1736630466;Lucca, Via Fillungo, 121;segreteria@pec.bancodilucca.it
BANCO DI SARDEGNA SPA;1564020904;Sassari, Viale Umberto, 36;direzionegenerale@pec.bancodisardegna.it
BCC - SAN GIOVANNI ROTONDO SCARL;149260713;San Giovanni Rotondo (FG), Viale A. Moro;segreteria@pec.bccsangiovannirotondo.it
BCC ALBEROBELLO E SAMMICHELE;531230722;Alberobello (BA), Via Cesare Battisti, 2;segreteria@pec.bccalberobello.it
BCC BASILICATA;130610769;Laurenzana (PZ), Via S. Pellico, 4;bccbasilicata@legalmail.it
BCC BRESCIA;291410171;Brescia, Via S. Martino della Battaglia, 2;segreteria@pec.bccbrescia.it
BCC BUSTO GAROLFO E BUGUGGIATE;735390155;Busto Garolfo (MI), Via S. Domenico Savio;segreteria@pec.bccbuguggiate.it
BCC CASTELLI ROMANI E TUSCOLO;923050589;Frascati (RM), Via de' Merli, 1;segreteria@pec.pbc-crt.it
BCC COLLI ALBANI;1037281005;Genzano di Roma (RM), Via L. Sebastiani;segreteria@pec.bcccollialbani.it
BCC CANOSA - LOCONIA Società Cooperativa;387040728;Canosa di Puglia (BT), Via B. Spaventa,4;bcccanosa@pec.it
BCC DI MILANO;713330158;Carugate (MI), Via Alberti, 6;segreteria@pec.bccmilano.it
BCC DI NAPOLI;5007551219;Napoli, Via Cervantes, 55;segreteria@pec.bccnapoli.it
BCC DI ROMA;938361005;Roma, Viale Oceano Indiano, 13;segreteria@pec.bccroma.it
BCC EMILBANCA;518461204;Bologna, Via Trattati Comunitari, 19;emilbanca@legalmail.it
BCC TERRA D'OTRANTO;2856000754;Carmiano (LE), Via Veglie, 50;segreteria@pec.bccterradotranto.it
BCC VENETA;213050244;Padova, Via del Risorgimento, 2;segreteria@pec.bccveneta.it
BDM BANCA SPA;254030729;Bari, Corso Cavour, 19;bdmbanca@postacert.cedacri.it
BIBANCA SPA;216440901;Sassari, Viale Umberto, 36;bibanca@pec.gruppobper.it
BNL FINANCE SPA;2447470588;Roma, Via Altiero Spinelli, 30;bnlfinance@pec.bnl-mail.com
BPER BANCA SPA;1153230360;Modena, via San Carlo, 8/20;bper@pec.gruppobper.it
CA AUTOBANK SPA;411600017;Torino, Corso Orbassano, 367;ca-autobank@legalmail.it
CASSA CENTRALE BANCA;232480228;Trento, Via Segantini, 5;segreteria@pec.cassacentrale.it
CASSA DI RISPARMIO DI BOLZANO (SPARKASSE);152980215;Bolzano, Via Cassa di Risparmio, 12;info@pec.sparkasse.it
CASSA DI RISPARMIO DI FERMO SPA;109910444;Fermo, Via Don Ernesto Ricci, 1;carifermo@actaliscertmail.it
CASSA DI RISPARMIO DI ORVIETO SPA;45560555;Orvieto (TR), Corso Cavour, 4;cassa.risparmio.orvieto@legalmail.it
CASSA DI RISPARMIO DI VOLTERRA SPA;125010502;Volterra (PI), Piazza Priori, 1;segreteria@pec.crvolterra.it
CASSA FORENSE;80027390584;Roma, Via Ennio Quirino Visconti, 8;carisp@cert.cassaforense.it
CASSA RURALE VAL DI NON;121170220;Cles (TN), Via Pilati, 17;segreteria@pec.crvaldinon.it
CHEBANCA! SPA (MEDIOBANCA PREMIER);10359360152;Milano, Viale Bodio, 33;rda@pec.mediobancapremier.com
CHIANTIBANCA CREDITO COOP.;412800487;San Casciano (FI), Via Cassia, 149;segreteria@pec.chiantibanca.it
COFIDIS SA;3665510967;Milano, Via Giovanni Spadolini, 7;cofidis@legalmail.it
COMPASS BANCA SPA;864530159;Milano, Via Caldera, 21;compass@pec.compassonline.it
CREDIT AGRICOLE ITALIA SPA;2113530345;Parma, Via Università, 1;segreteria@pec.credit-agricole.it
CREDITO COOPERATIVO FRIULI SC;2216020301;Udine, Via Giovanni Paolo II, 27;segreteria@pec.credifriuli.it
CREDITO EMILIANO S.P.A.;1806740153;Reggio Emilia, Via Emilia a S. Pietro;credem@pec.gruppocredem.it
CREDITO FONDIARIO SPA (FONSPA);395660585;Roma, Via di S. Basilio, 15;creditofondiario@legalmail.it
DEUTSCHE BANK SPA;1340740156;Milano, Piazza del Calendario, 3;dbspa.ufficiopignoramenti@actaliscertmail.it
ENASARCO;771150588;Roma, Via Cristoforo Colombo, 422;protocollo@pec.enasarco.it
ENPAM;914411000;Roma, Piazza Vittorio Emanuele II, 78;protocollo@pec.enpam.it
EUROP ASSISTANCE ITALIA SPA;8037490150;Assago (MI), Via del Mulino, 4;europassistance@pec.it
FCE BANK PLC (FORD CREDIT);9303640150;Roma, Via del Serafico, 89;fcebank@legalmail.it
FERRARI FINANCIAL SERVICES SPA;3038660361;Maranello (MO), Via Abetone Inferiore;ffs@pec.ferrari.com
FIDITALIA SPA;7166130155;Milano, Via Silva, 34;ufficiopignoramenti@pec.fiditalia.it
FINDOMESTIC BANCA SPA;3562710481;Firenze, Via Elio da Lentini, 3;findomestic.banca@legalmail.it
FINECOBANK BANCA FINECO SPA;1392970404;Reggio Emilia, Via Rivani, 6;finekobankspa.pec@pec.finecobank.com
GENERALI ITALIA SPA;486590324;Mogliano Veneto (TV), Via Marocchesa, 14;generaliitalia@pec.generaligroup.com
GROUPAMA ASSICURAZIONI SPA;411140585;Roma, Viale Cesare Pavese, 385;groupama@legalmail.it
HDI ASSICURAZIONI SPA;151270457;Roma, Via Abruzzi, 10;hdi.assicurazioni@pec.it
HYPE S.P.A.;2686590023;Piazza Gaudenzio Sella 1 - Biella;segreteria@pec.hype.it
HYPO ALPE ADRIA BANK SPA;1726000300;Tavagnacco (UD), Via G. Galilei, 3;hypoalpeadriabank@legalmail.it
IBL BANCA SPA;452550585;Roma, Via Venti Settembre, 30;documenti@pec.iblbanca.it
ICCREA BANCA SPA;4774051001;Roma, Via Lucrezia Romana, 41;segreteriagenerale@pec.iccrea.bcc.it
IGEA DIGITAL BANK SPA;1377850937;Roma, Via Di San Basilio, 15;igeabank@legalmail.it
ILLIMITY BANK SPA;3192350365;Milano, Via Soperga, 9;illimity@pec.illimity.com
ING BANK N.V.;11241140158;Milano, Via Viale Fulvio Testi, 250;ing.bank.italy@legalmail.it
INTESA SANPAOLO S.P.A.;799960158;Torino, Piazza San Carlo, 156;info@pec.intesasanpaolo.com
INVEST BANCA SPA;3534571008;Roma, Via Sardegna, 40;investbanca@legalmail.it
ISYBANK SPA;5435910962;Milano, Via Melchiorre Gioia, 22;info@pec.isybank.com
MANZARO SRL;4346820717;San Severo, via Podgora 11;manzarosrl@arubapec.it
MB CREDIT SOLUTIONS SPA;1379680153;Milano, Via Soperga, 9;mbcreditsolutions@legalmail.it
MCP SRLS;4298160716;San Severo, via Podgora, 11;mcpsrls@arubapec.it
MOONEY S.P.A.;6529501006;Milano, Via Privata Nino Bonnet, 6/A;mooney@pec.mooney.it
N26 BANK AG;10429450967;Milano, Via Filippo Sassetti, 32;info@pec.n26.com
PITAGORA SPA;6385720015;Torino, Corso Stati Uniti, 35;pitagora@legalmail.it
POSTE ITALIANE SPA;97103880585;Roma, Viale Europa, 190;poste@pec.posteitaliane.it
POSTEPAY SPA;6874351007;Roma, Viale Europa n. 190;postepay@pec.posteitaliane.it
PSA BANK ITALIA;1138400010;Milano, Via Gallarate, 199;psabankitalia@legalmail.it
REALE MUTUA ASSICURAZIONI;470400013;Torino, Via Corte d'Appello, 11;realemutua@pec.realemutua.it
REVOLUT BANK UAB;12372510961;Milano, Via Dante, 7;revolut.italy.pec@legalmail.it
RIVIERABANCA BCC;236160408;Rimini, Via Marecchiese, 227;segreteria@pec.rivierabanca.it
SANTANDER CONSUMER BANK SPA;5634190010;Torino, Via Nizza, 262;santanderconsumerbank@legalmail.it
SARAS SPA;136440922;Sarroch (CA), S.S. 195 Sulcitana;saras@pec.saras.it
SO.GE.L.M.A. SRL;1481370482;Scandicci, Via Ambrosoli, 73;sogelma@pec.it
STUDIO IMMOBILIARE METROQUADRO S.R.L.S.;8536040721;Molfetta, Via Respa n. 29;studiomq@pec.it
UNICREDIT SPA;348170101;Milano, Piazza Gae Aulenti, 3;comunicazioni@pec.unicredit.eu
UNIPOLSAI ASSICURAZIONI SPA;818570012;Bologna, Via Stalingrado, 45;unipolsaiassicurazioni@pec.unipol.it
VIVI BANCA SPA;1650300019;Torino, Via Monte di Pietà, 24;vivibanca@legalmail.it
ZURICH INSURANCE PLC;5159650963;Milano, Via Benigno Crespi, 23;zurich.insurance.plc@pec.zurich.it
###MARCATORE_INIZIO_DEBITORI###
HYBRIDA MARKETING SRL;15366611000;Roma, via Castel di Ieri n. 21
BANCA POPOLARE PUGLIESE SCPA;2848590754;PARABITA (LE)
###MARCATORE_INIZIO_CREDITORI###
###MARCATORE_INIZIO_AVVOCATI###
